避難收容處所名稱,縣市及鄉鎮市區,避難收容處所地址,經度,緯度,is_indoor,預計收容人數,最近AQI測站,測站縣市,最近AQI值,測站狀態,距離(km),風險等級
五峰活動中心,新竹縣,,121.073,24.386,True,110,三義,苗栗縣,40.0,良好,31.75,Normal
金門縣烈嶼鄉林湖村辦公處,金門縣烈嶼鄉,東林24號,118.248571,24.428328,True,30,金門,金門縣,61.0,普通,6.46,Normal
南坑村集會所暨南外社區活動中心,新竹縣北埔鄉,9鄰大南坑1-5號,121.0561,24.6725,True,20,竹東,新竹縣,43.0,良好,8.3,Normal
烏坵鄉小坵村活動中心,金門縣烏坵鄉,無門牌號碼,118.47,24.98,True,20,金門,金門縣,61.0,普通,62.97,Normal
金門縣烏坵鄉公所大廳,金門縣烏坵鄉,1號,118.453178,24.988739,True,30,金門,金門縣,61.0,普通,63.51,Normal
霞雲社區活動中心,桃園市復興區,6鄰22-1號,121.406238,24.814018,True,36,新北（樹林）,新北市,45.0,良好,15.19,Normal
澤仁里辦公處,桃園市復興區,14鄰中正路168之1號,121.351987,24.820601,True,40,龍潭,桃園市,39.0,良好,14.5,Normal
奎輝里活動中心,桃園市復興區,3鄰羅馬路3段355號,121.334302,24.797047,True,50,龍潭,桃園市,39.0,良好,14.03,Normal
高義教會,桃園市復興區,6鄰48號,121.354462,24.706112,True,61,龍潭,桃園市,39.0,良好,22.41,Normal
東莒老人活動中心,連江縣莒光鄉,57-1號,119.977206,25.956666,True,0,馬祖,連江縣,61.0,普通,22.05,Normal
福正風景管理處,連江縣莒光鄉,1號,119.985351,25.961848,True,0,馬祖,連江縣,61.0,普通,21.58,Normal
莒光指揮部國軍文康中心,連江縣莒光鄉,莒光指揮部國軍文康中心,119.932125,25.97828,True,0,馬祖,連江縣,61.0,普通,19.62,Normal
田沃老人活動中心,連江縣莒光鄉,52號,119.944922,25.972438,True,0,馬祖,連江縣,61.0,普通,20.17,Normal
青帆老人活動中心,連江縣莒光鄉,1號,119.933712,25.969995,True,150,馬祖,連江縣,61.0,普通,20.52,Normal
敬恆國中小禮堂,連江縣莒光鄉,18號,119.933934,25.970819,True,200,馬祖,連江縣,61.0,普通,20.43,Normal
東莒國小綜合教室,連江縣莒光鄉,4號,119.97711,25.957484,True,200,馬祖,連江縣,61.0,普通,21.96,Normal
石牌社區活動中心,桃園市新屋區,東興路二段568號,121.051297,25.0,True,50,觀音,桃園市,44.0,良好,5.07,Normal
上大社區活動中心,桃園市觀音區,8鄰大湖路一段510號,121.147333,24.978234,True,0,平鎮,桃園市,51.0,普通,6.37,Normal
武威社區活動中心,桃園市觀音區,4鄰武威一路10號,121.073317,25.028242,True,0,觀音,桃園市,44.0,良好,1.26,Normal
塔腳社區活動中心,桃園市觀音區,4鄰塔腳路116號,121.154708,25.049298,True,0,大園,桃園市,37.0,良好,4.99,Normal
廣福社區活動中心,桃園市觀音區,福山路二段403巷6號,121.153383,25.019018,True,0,大園,桃園市,37.0,良好,6.8,Normal
草漯國民小學,桃園市觀音區,新生路1462號,121.142939,25.045941,True,100,觀音,桃園市,44.0,良好,6.16,Normal
上大國民小學,桃園市觀音區,8鄰大湖路一段540號,121.146755,24.979129,True,100,平鎮,桃園市,51.0,普通,6.47,Normal
崙坪國民小學,桃園市觀音區,崙坪里297之1號,121.162676,24.999596,True,100,平鎮,桃園市,51.0,普通,6.67,Normal
富林國民小學,桃園市觀音區,大觀路三段466號,121.1285,25.062195,True,100,觀音,桃園市,44.0,良好,5.47,Normal
樹林國民小學,桃園市觀音區,觀音鄉樹林村新村路二段十二號,121.128468,25.062176,True,100,觀音,桃園市,44.0,良好,5.47,Normal
觀音區公所綠資源中心,桃園市觀音區,觀新路56號,121.083597,25.028281,True,0,觀音,桃園市,44.0,良好,0.81,Normal
空軍第737戰術戰鬥機聯隊,臺東縣臺東市,營區位置恕不敘明,121.0,22.752122,True,329,臺東,臺東縣,44.0,良好,15.43,Normal
高雄市前鎮區光華國民小學,高雄市前鎮區,廣西路57號,120.32,22.615,True,300,復興,高雄市,150.0,對所有族群不健康,1.08,High Risk
大武國小,臺東縣大武鄉,民族街2巷49號,120.905497,22.365009,True,350,屏東（枋山）,屏東縣,74.0,普通,28.58,Normal
